Developer,State,Parking Lot,Ad List,Bus Stop,Firm Number,Park,Property Size,Nearby Mall,Tenure Type,Bedroom,REN Number,Facilities,Completion Year,price,Nearby School,Property Type
Kenwingston Group,Kuala Lumpur,1,98187451,"Bus Stop Starparc Point
Bus Stop Setapak Central
Bus Stop Setapak Sentral (Opp)
Bus Stop Columbia Hospital
Bus Stop PV12 Residence
Bus Stop PV15 Platinum
Bus Stop PV12 Condominium (Opp)
Bus Stop Sri Utama Schools (Opp)
Bus Stop CIMB Genting Klang
Bus Stop 1 Sri Utama Schools
Bus Stop Aeon Big Danau Kota
Bus Stop 2 Sri Utama Schools
Bus Stop Setapak Commercial
Bus Stop 1 Setapak Food Court
Bus Stop Setapak Industrial Area
Bus Stop 2 Setapak Food Court
Bus Stop 2 Medan Makmur Setapak
Bus Stop 1 Medan Makmur Setapak
Bus Stop Langkawi Apartment (Opp)
Bus Stop BHP Genting Klang
Bus Stop Jalan Kilang
Bus Stop PV128 Setapak",30338,"Park at Taman Tasik Danau Kota, Setapak, Kuala Lumpur, Malaysia
Park at Taman Danau Kota, Setapak, Kuala Lumpur, Malaysia
Park 1 at Setapak Garden, Setapak, Kuala Lumpur, Malaysia",1000,Setapak Central,Freehold,4,REN 66961,Multipurpose hall,2011,340000,Sekolah Menengah Pendidikan Khas Cacat Penglihatan,Service Residence
Ibraco Berhad,Melaka,1,101683090,KL Central,30812,Taman Negara,980,Sunway Pyramid,Freehold,3,REN 15862,"Lift, Club house, Tennis Court, Playground, Squash Court, Security",1999,250000,Sekolah Seni Malaysia,Apartment
TLS Group,Selangor,2,103792905,KL Central,77778,Selangor State Park,1000,One Utama,Freehold,3,REN 66961,"Security, Lift, Swimming Pool, Club house, Parking, Tennis Court, Minimart, Gymnasium, Jogging Track, Barbeque area",2001,230000,SMK Bukit Jambul,Apartment
Mudajaya Group,Selangor,1,103806240,KL Central,11584,Taman Negara,592,The Exchange TRX,Leasehold,3,REN 16279,"Lift, Minimart, Security, Club house, Swimming Pool, Sauna, Jogging Track, Squash Court, Gymnasium, Barbeque area, Playground, Tennis Court",2021,158000,MRSM Tun Ghafar Baba,Flat
i-Berhad,Selangor,2,103806234,"Bus Stop at Persiaran Permai 1
Bus Stop at Persiaran Permai 2
Bus Stop at Pusat Komersial Seksyen 7 (Timur)
Bus Stop at Persiaran Bestari 1
Bus Stop at Jalan Plumbum N7/N
Bus Stop at UITM Shah Alam (Barat)
Bus Stop at Jakel (Seksyen 7)
Bus Stop at Jalan Sungai Rasau 1
Bus Stop at Federal Highway 1
Bus Stop at Jalan Sungai Rasau 2
Bus Stop at Jakel 2 (Seksyen 7)
Bus Stop at Pusat Kesihatan",31916,"Park 2 at Section 7, Shah Alam
Park 1 at Section 7, Shah Alam",467,i-Soho i-City,Freehold,1,REN 66961,"Multipurpose hall, Swimming Pool, Squash Court, Parking, Jogging Track, Minimart, Tennis Court, Gymnasium, Lift, Sauna, Playground, Barbeque area, Security",2001,305000,Sekolah Jenis Kebangsaan (T) Ladang Midlands,Studio
X-Scan Penang Sdn Bhd,Penang,2,103739787,Terminal Sentral Kuantan Bus terminal,11307,Selangor State Park,1100,Berjaya Times Square,Freehold,3,REN 61472,"Club house, Tennis Court, Security, Lift, Minimart, Jogging Track",2023,425000,MRSM Tun Ghafar Baba,Condominium
IOI Properties Group Berhad,Selangor,2,103690767,KL Central,31484,Penang National Park,780,One Utama,Freehold,3,REN 66961,"Playground, Club house, Barbeque area, Parking",2015,230000,MRSM Tun Ghafar Baba,Condominium
Talam Transform Berhad,Selangor,1,103615852,"Bus Stop at Jalan Puchong 5
Bus Stop at Jalan Puchong 4
Bus Stop at Jalan Taman Kinrara
Bus Stop at Jalan Puchong 7
Bus Stop at Jalan Kinrara 4 1
Bus Stop at Jalan Kinrara 4 2
Bus Stop at Jalan TK 1/11A",31484,"Park at Taman Kinrara Seksyen 7, Subang Jaya
Park at Taman Kinrara Seksyen 4, Subang Jaya
Park at Taman Kinrara, Subang Jaya
Park at Taman Kinrara Seksyen 3, Bukit Tandang
Park at Taman Bukit Kuchai, Bukit Tandang
Park at Kinrara Ria Apartments, Subang Jaya
Park at Flat Taman Kinrara, Subang Jaya
Park at Bandar Kinrara 3 Park, Bandar Kinrara
Park at Pangsapuri Mawar, Bukit Tandang
Park at Taman Kinrara Seksyen 2, Subang Jaya
Park 1 at Bandar Kinrara, Subang Jaya",852,Sunway Pyramid,Leasehold,3,REN 66961,"Parking, Sauna, Minimart, Security, Tennis Court, Jogging Track, Multipurpose hall, Club house, Playground, Lift, Swimming Pool, Barbeque area, Gymnasium",2013,200000,SMK Bukit Jambul,Apartment
Ikram Ikhlas,Selangor,2,103615849,"Bus Stop at Taman Sri Muda Seksyen 25 (Utara)
Bus Stop at Persiaran Budiman 1
Bus Stop at Jalan Watan 25/6",31484,"Park 2 at Section 23, Taman Sri Muda
Park 1 at Section 23, Taman Sri Muda",918,Plaza Sri Muda,Leasehold,3,REN 66961,"Jogging Track, Club house, Parking, Sauna, Lift, Tennis Court",2006,275000,Sekolah Kebangsaan Taman Sri Muda,Apartment
Syarikat Perumahan Negara Berhad,Selangor,1,102460346,"Bus Stop at Persiaran Jubli Perak 5
Bus Stop at Seksyen 15 (Timur)
Bus Stop at Batu Tiga Federal Highway
Bus Stop at Persiaran Teknologi 1
Bus Stop at Federal Highway 4
Bus Stop at Persiaran Teknologi 2",31484,"Park at Section 21, Shah Alam
Park at Taman Mutiara Subang, Batu Tiga",850,One Utama,Freehold,3,REN 66961,"Gymnasium, Playground",2009,300000,SM imtiaz Kemaman,Apartment
Hongkong Land,Penang,2,103806285,KL Central,31970,Selangor State Park,660,The Exchange TRX,Freehold,3,REN 03281,"Multipurpose hall, Swimming Pool",2006,265000,MRSM Tun Ghafar Baba,Apartment
Asia Green Group,Penang,1,103739661,Pudu Sentral,11307,Selangor State Park,1246,The Exchange TRX,Freehold,3,REN 61472,"Club house, Jogging Track, Tennis Court, Swimming Pool, Lift, Parking, Minimart, Security, Gymnasium",2001,790000,SM Sains T. Munawir,Condominium
Kenwingston Group,Penang,1,103696451,KL Central,31970,Taman Negara,550,Sunway Pyramid,Freehold,2,REN 03281,"Squash Court, Club house, Swimming Pool, Security, Lift, Barbeque area, Jogging Track, Tennis Court, Parking, Minimart, Sauna, Gymnasium, Playground",2021,230000,Sekolah Seni Malaysia,Flat
TLS Group,Selangor,2,103580644,Terminal Sentral Kuantan Bus terminal,31484,Gunung Ledang National Park,1250,Berjaya Times Square,Freehold,3,REN 66961,"Jogging Track, Playground, Gymnasium",2020,340000,SMK Bukit Jambul,Condominium
Golden Armani Sdn Bhd,Selangor,2,102452522,"Bus Stop at Jalan Intan 2
Bus Stop at Kompleks Rakan Muda
Bus Stop at Jalan Puchong 6
Bus Stop at LRT Bandar Puteri",31484,"Park at Kampung Bersatu, Subang Jaya
Park at Puchong Intan Park, Subang Jaya
Park 1 at Subang Jaya, Petaling
Park 1 at Puchong Perdana, Subang Jaya
Park 2 at Puchong Perdana, Subang Jaya
Park at Taman Permainan Puchong Permai, Pangsapuri Puchong Permata 1
Park at Taman Tasik Puchong Perdana, Puchong Perdana
Park at Kampung Sri Langkas Tambahan, Subang Jaya
Park at Kampung Sri Puchong, Kampung Kenangan",1048,One Utama,Freehold,3,REN 66961,"Squash Court, Tennis Court, Swimming Pool, Security, Multipurpose hall, Sauna, Minimart, Club house, Jogging Track, Playground, Lift, Gymnasium, Parking, Barbeque area",2024,230000,Sekolah Kebangsaan Puchong Indah,Apartment
Asia Green Group,Penang,1,103806203,KL Central,11584,Penang National Park,1150,Berjaya Times Square,Freehold,3,REN 21767,Gymnasium,2021,430000,SM imtiaz Kemaman,Condominium
Titijaya Land Berhad,Kuala Lumpur,1,103806202,KL Central,11752,Taman Negara,553,Berjaya Times Square,Leasehold,2,REN 31018,"Multipurpose hall, Lift, Security, Playground, Gymnasium, Squash Court, Minimart, Club house, Swimming Pool, Barbeque area, Jogging Track",2022,155000,SM imtiaz Kemaman,Flat
Eco World Development Group Berhad,Penang,1,103806192,KL Central,11605,Taman Negara,901,Berjaya Times Square,Freehold,3,REN 49410,"Tennis Court, Barbeque area, Jogging Track, Squash Court",2022,500000,SM Sains T. Munawir,Condominium
Paramount Property,Selangor,2,103246638,"Bus Stop at Jalan Montfort
Bus Stop at Persiaran Kerjaya",30263,Penang National Park,452,Utropolis Marketplace,Freehold,1,REN 46580,"Multipurpose hall, Sauna, Club house, Parking, Jogging Track, Minimart, Barbeque area, Security, Squash Court, Gymnasium, Lift, Playground",2024,350000,Montfort Boys Town,Studio
Nova Mulia Development Sdn Bhd,Penang,2,103740356,Terminal Sentral Kuantan Bus terminal,31970,Penang National Park,1016,The Exchange TRX,Freehold,2,REN 03281,"Security, Barbeque area, Minimart, Gymnasium, Multipurpose hall, Sauna, Parking",2017,620000,Sekolah Seni Malaysia,Condominium
Eco World Development Group Berhad,Selangor,1,103589322,Seremban Bus terminal,12408,Selangor State Park,900,The Exchange TRX,Freehold,4,REN 12408,"Sauna, Club house",2021,310000,SM Sains T. Munawir,Apartment
Mahumas Sdn Bhd,Kuala Lumpur,1,103582335,Terminal Sentral Kuantan Bus terminal,11989,Penang National Park,650,The Exchange TRX,Leasehold,3,REN 28081,"Swimming Pool, Club house, Squash Court, Jogging Track, Gymnasium, Playground, Parking, Security, Multipurpose hall, Tennis Court, Barbeque area, Sauna, Lift, Minimart",1995,240000,MRSM Tun Ghafar Baba,Apartment
GSD Land (M) Sdn Bhd,Penang,2,103386504,Pudu Sentral,31970,Taman Negara,1182,One Utama,Freehold,3,REN 03281,"Squash Court, Club house, Swimming Pool, Gymnasium, Parking, Minimart, Lift, Sauna, Multipurpose hall, Jogging Track, Tennis Court, Playground, Security",2010,500000,SM imtiaz Kemaman,Condominium
Lim Seong Hai Holdings Sdn Bhd,Selangor,1,103684680,Seremban Bus terminal,77778,Penang National Park,872,Sunway Pyramid,Freehold,3,REN 66961,Security,2009,341500,SM imtiaz Kemaman,Apartment
Palm Grove Homes / Kenmeiwood Construction & Engineering Works,Selangor,2,103683568,KL Central,77778,Selangor State Park,450,EcoHill Walk,Freehold,1,REN 66961,"Sauna, Barbeque area, Swimming Pool, Squash Court, Lift, Parking",2016,230500,MRSM Tun Ghafar Baba,Condominium
ALPHA ASTRAL REALTY SDN BHD,Johor,2,103806074,Terminal Sentral Kuantan Bus terminal,77778,Penang National Park,1005,Berjaya Times Square,Freehold,2,REN 63582,"Swimming Pool, Club house, Security, Gymnasium, Playground, Multipurpose hall, Sauna",2017,515000,SM imtiaz Kemaman,Condominium
Malaysia Land Properties Sdn. Bhd.,Johor,2,103805967,Seremban Bus terminal,77778,Taman Negara,430,Berjaya Times Square,Freehold,1,REN 63582,"Barbeque area, Club house, Squash Court, Swimming Pool, Security, Tennis Court, Gymnasium, Minimart, Parking, Multipurpose hall",2004,200000,SMK Bukit Jambul,Service Residence
Asia Green Group,Johor,2,103805963,Pudu Sentral,77778,Selangor State Park,1050,One Utama,Freehold,3,REN 63582,"Club house, Swimming Pool, Playground, Jogging Track, Parking, Squash Court, Sauna, Tennis Court, Barbeque area, Security, Lift",1993,298000,SMK Bukit Jambul,Service Residence
Khoo Soon Lee Realty Sdn. Bhd.,Johor,1,103805953,Pudu Sentral,77778,Taman Negara,986,Berjaya Times Square,Freehold,3,REN 63582,"Minimart, Gymnasium, Club house, Parking, Barbeque area, Tennis Court, Multipurpose hall, Sauna, Jogging Track, Swimming Pool",2011,418000,SM imtiaz Kemaman,Apartment
TLS Group,Selangor,2,103615831,Seremban Bus terminal,31484,Selangor State Park,950,Winnie Plaza,Freehold,3,REN 66961,"Multipurpose hall, Jogging Track, Squash Court, Sauna, Minimart, Tennis Court, Lift, Security, Gymnasium, Club house, Parking, Playground",1993,220000,SM imtiaz Kemaman,Apartment
Masteron Group,Selangor,2,102461841,"Bus Stop at Jalan Puchong 7
Bus Stop at Jalan TK 1/11A
Bus Stop at Jalan Puchong 5
Bus Stop at Jalan Puchong 4
Bus Stop at Jalan Taman Kinrara
Bus Stop at Jalan Kinrara 4 1
Bus Stop at Jalan Kinrara 4 2",31484,"Park at Taman Kinrara, Subang Jaya
Park at Taman Kinrara Seksyen 7, Subang Jaya
Park at Taman Kinrara Seksyen 2, Subang Jaya
Park 1 at Bandar Kinrara, Subang Jaya
Park at Taman Kinrara Seksyen 4, Subang Jaya
Park at Taman Kinrara Seksyen 1, Subang Jaya",1055,Sunway Pyramid,Leasehold,3,REN 66961,"Squash Court, Security, Lift, Jogging Track, Minimart",2009,320000,Sekolah Jenis Kebangsaan (Cina) Yak Chee,Condominium
Mah Sing Group Berhad,Selangor,1,101979792,Pudu Sentral,31484,Gunung Ledang National Park,1017,Sunway Pyramid,Freehold,3,REN 66961,"Sauna, Security, Parking, Minimart, Lift, Squash Court",1992,280000,Sekolah Seni Malaysia,Service Residence
R&F Development Sdn Bhd,Johor,2,103806053,KL Central,16051,Penang National Park,1387,One Utama,Freehold,4,REN 19421,"Squash Court, Lift, Jogging Track, Club house, Barbeque area, Parking, Security, Sauna, Minimart",2013,1150000,Sekolah Seni Malaysia,Service Residence
Scientex Berhad,Melaka,1,103715477,Seremban Bus terminal,11766,Selangor State Park,720,Sunway Pyramid,Leasehold,3,REN 35194,"Squash Court, Multipurpose hall, Sauna, Tennis Court, Minimart",2013,320000,MRSM Tun Ghafar Baba,Condominium
Suntrack Development Sdn Bhd,Kuala Lumpur,2,103805909,"Bus Stop Sungai Besi Expressway
Bus Stop Jalan Riang 11
Bus Stop ILP Kuala Lumpur",11800,"Park at Taman Gembira, Kuchai Lama, Kuala Lumpur, 58200, Malaysia
Park at Taman Pagar Ruyong, Kuchai Lama, Kuala Lumpur, 58200, Malaysia",1474,Berjaya Times Square,Freehold,4,E 51213,"Club house, Parking, Security, Jogging Track",2003,880000,SJK (C) La Salle Sri Petaling,Condominium
Ibraco Berhad,Sarawak,1,103805998,Terminal Sentral Kuantan Bus terminal,31470,Penang National Park,788,Sunway Pyramid,Leasehold,2,REN 23281,"Club house, Parking, Jogging Track, Squash Court, Gymnasium, Playground, Barbeque area, Sauna, Security, Tennis Court, Lift, Swimming Pool, Minimart",2014,550000,MRSM Tun Ghafar Baba,Service Residence
Titijaya Land Berhad,Selangor,2,103292386,KL Central,77778,Gunung Ledang National Park,517,Berjaya Times Square,Freehold,2,REN 66961,"Multipurpose hall, Minimart, Playground, Sauna, Jogging Track, Gymnasium, Squash Court, Parking, Barbeque area, Tennis Court, Lift, Swimming Pool, Security",2017,180000,MRSM Tun Ghafar Baba,Apartment
Titijaya Land Berhad,Selangor,1,103292345,Terminal Sentral Kuantan Bus terminal,77778,Taman Negara,650,Berjaya Times Square,Leasehold,3,REN 66961,"Swimming Pool, Multipurpose hall, Lift, Security",2022,200000,SM imtiaz Kemaman,Flat
SHL Consolidated Berhad,Selangor,2,103292300,Bus Stop at Persiaran Pulau Lumut,77778,Taman Negara,850,One Utama,Freehold,3,REN 66961,"Security, Sauna, Multipurpose hall",2001,300000,Sekolah Seni Malaysia,Apartment
Titijaya Land Berhad,Johor,2,101804692,KL Central,11605,Selangor State Park,800,The Exchange TRX,Leasehold,3,REN 49410,Sauna,2019,438000,SM Sains T. Munawir,Apartment
Akisama Group of companies,Sarawak,2,100462242,Pudu Sentral,11584,Penang National Park,1432,The Exchange TRX,Leasehold,3,REN 58273,"Playground, Sauna, Gymnasium, Tennis Court, Barbeque area, Security, Lift, Multipurpose hall, Club house, Parking, Minimart, Jogging Track, Swimming Pool",2009,700000,SMK Bukit Jambul,Condominium
Paramoden (MK Land),Kuala Lumpur,2,103703580,"Bus Stop Pangsapuri Sri Perak
Bus Stop Flat Sri Perak
Bus Stop SMK Bandar Baru Sentul
Bus Stop 2 Titiwangsa (West)
Bus Stop Amru Sentul Mosque
Bus Stop 1 Titiwangsa (West)
Bus Stop 1 SRJK (C) Chung Hwa
Bus Stop 2 SRJK (C) Chung Hwa
Bus Stop Menara Orkid/Utc Sentul
Bus Stop Perumahan Sri Negeri Sembilan
Bus Stop SJKC Chiao Nan
Bus Stop Wisma Lotus
Bus Stop Apartment Bandar Baru Sentul Block 77 (Opp)
Bus Stop Makpem
Bus Stop LRT Sentul Timur
Bus Stop SJKC Chiao Nan (Opp)
Bus Stop Fennel Sentul
Bus Stop Tawakal Hospital
Bus Stop Sentul
Bus Stop The Fennel Sentul East
Bus Stop D6 Sentul
Bus Stop Guan Ying Ting (Opp)
Bus Stop Sentul Boulevard (North)
Bus Stop D7 Sentul
Bus Stop SJKC Sentul KL
Bus Stop SMK La Salle
Bus Stop Skymeridien Sentul East
Bus Stop Sentul Boulevard (West)
Bus Stop Guan Ying Ting
Bus Stop SMK Convent Sentul
Bus Stop SMK Convent Sentul (Opp)
Bus Stop Kg Puah Bahagia",11747,Taman Negara,527,One Utama,Leasehold,2,REN 31955,Club house,1993,195000,SK Bandar Baru Sentul,Flat
Mudajaya Group,Sarawak,1,103640175,Seremban Bus terminal,11584,Taman Negara,1108,One Utama,Leasehold,3,REN 58273,"Multipurpose hall, Barbeque area, Sauna, Lift, Club house, Squash Court, Gymnasium, Swimming Pool",2017,493000,Sekolah Seni Malaysia,Condominium
S P Setia Bhd,Selangor,1,102709021,Seremban Bus terminal,11307,Penang National Park,860,Berjaya Times Square,Leasehold,3,REN 66961,"Parking, Barbeque area",2017,195000,MRSM Tun Ghafar Baba,Apartment
Mahabuilders Berhad,Johor,2,103805884,Pudu Sentral,77778,Gunung Ledang National Park,1011,The Exchange TRX,Freehold,3,REN 63582,"Multipurpose hall, Gymnasium, Squash Court, Security, Tennis Court, Parking, Playground, Barbeque area, Swimming Pool, Sauna",2015,420000,SMK Bukit Jambul,Apartment
Paramoden (MK Land),Selangor,1,103125815,"Bus Stop at Persiaran Multimedia 1
Bus Stop at Jalan Fauna 1
Bus Stop at University bus stop
Bus Stop at Persiaran Ceria",11747,"Park at Mutiara Ville Park A, Cyber 11
Park at Mutira Viile Tower G Park, Cyber 11
Park at Cyberjaya, Sepang",925,Gem In Mall,Freehold,3,REN 03027,"Tennis Court, Multipurpose hall, Gymnasium",1990,255000,Sekolah Kebangsaan Cyberjaya,Condominium
Cosmopolitan Homes Sdn Bhd,Selangor,1,103755519,KL Central,11747,Gunung Ledang National Park,753,BMC Mall,Freehold,3,REN 03027,"Gymnasium, Tennis Court, Club house, Lift, Security, Minimart",2013,240000,Sekolah Seni Malaysia,Apartment
Hongkong Land,Selangor,2,103690820,"Bus Stop at Jalan SR 1/10
Bus Stop at Jalan Utama 3
Bus Stop at Jalan Utama 2
Bus Stop at Jalan Utama 1",11747,"Park 2 at SK 5, Kampung Baru Seri Kembangan
Park at SK 2, Kampung Baru Seri Kembangan
Park 1 at SK 5, Kampung Baru Seri Kembangan
Park at SK 4, Kampung Baru Seri Kembangan
Park at SK 9, Kampung Baru Seri Kembangan
Park at Serdang Raya 6, Serdang Raya
Park at Taman Serdang Utama, Bukit Serdang",1093,South City Plaza,Leasehold,3,REN 03027,"Minimart, Gymnasium, Sauna, Playground, Tennis Court, Security, Barbeque area, Swimming Pool",1990,350000,MRSM Tun Ghafar Baba,Condominium
BSG Property,Penang,1,102135985,Pudu Sentral,11589,Penang National Park,1400,Berjaya Times Square,Freehold,3,REN 43737,"Parking, Multipurpose hall",2021,978000,SM Sains T. Munawir,Condominium
Eco World Development Group Berhad,Selangor,1,103637327,KL Central,11747,Selangor State Park,800,The Exchange TRX,Freehold,3,REN 31955,"Multipurpose hall, Tennis Court, Minimart, Barbeque area, Sauna, Swimming Pool",2008,260000,MRSM Tun Ghafar Baba,Apartment
Ibraco Berhad,Johor,1,103594449,KL Central,77778,Selangor State Park,953,One Utama,Freehold,3,REN 42762,"Minimart, Playground, Barbeque area, Club house, Multipurpose hall, Squash Court, Swimming Pool, Gymnasium, Jogging Track, Tennis Court, Sauna, Parking",2018,263000,Sekolah Seni Malaysia,Apartment
Ikram Ikhlas,Johor,2,103142753,Seremban Bus terminal,77778,Selangor State Park,750,The Exchange TRX,Freehold,3,REN 42762,"Playground, Sauna, Gymnasium, Swimming Pool, Minimart, Security, Jogging Track, Parking, Lift, Club house, Multipurpose hall, Barbeque area",2014,168000,SMK Bukit Jambul,Apartment
Hua Yang Berhad,Selangor,2,103754290,"Bus Stop at Jalan Utama 1
Bus Stop at Jalan Utama 2",31462,"Park at Serdang Raya 7, Serdang Raya
Park at Serdang Raya 6, Serdang Raya
Park at Serdang Raya 8, Serdang Raya",1152,Sunway Pyramid,Leasehold,3,REN 22075,"Parking, Gymnasium, Tennis Court, Jogging Track, Barbeque area, Swimming Pool, Sauna, Playground, Lift, Multipurpose hall, Squash Court, Security, Club house",2001,530000,SM imtiaz Kemaman,Others
IOI Properties Group,Selangor,2,103805698,Seremban Bus terminal,77778,"Park at Sri Teratai Park, Bandar Puchong Jaya
Park at Kawasan Perumahan Tempua, Bandar Puchong Jaya
Park at Residensi Jalan Bangau, Subang Jaya
Park at Taman Permainan belakang SKS2BK, Bandar Kinrara
Park at Taman Tenaga, Subang Jaya
Park 2 at Subang Jaya, Petaling",1334,Sunway Pyramid,Freehold,3,REN 66961,"Squash Court, Multipurpose hall, Minimart, Security, Sauna, Barbeque area, Tennis Court, Parking, Playground",2019,950000,Sekolah Kebangsaan Bandar Kinrara Seksyen 2,Condominium
Elite Forward Sdn Bhd (L&G / Mayland),Kuala Lumpur,1,103805692,"Bus Stop Ampang Timur (KL1816)
Bus Stop Bangunan Risda (KL2290)
Bus Stop 3 Towers KL (KL2297)
Bus Stop 4 Jalan Ampang",11584,"Ampang Hilir Lake Garden, Perwira Jaya, Kuala Lumpur, Malaysia",705,Berjaya Times Square,Freehold,1,REN 16279,Squash Court,2017,375000,Libyan School,Service Residence
S P Setia Bhd,Penang,1,102399058,Pudu Sentral,56472,Penang National Park,689,One Utama,Freehold,3,REN 66472,"Lift, Parking, Minimart, Security, Sauna",1993,200000,SM Sains T. Munawir,Apartment
Mudajaya Group,Sarawak,1,102725008,Pudu Sentral,30460,Penang National Park,1700,The Exchange TRX,Leasehold,3,REN 01374,"Lift, Tennis Court, Barbeque area, Sauna, Minimart, Security, Swimming Pool, Parking, Squash Court, Gymnasium, Playground, Jogging Track, Multipurpose hall",1995,580000,SM imtiaz Kemaman,Condominium
Parkland Group,Johor,2,102664029,KL Central,12004,Penang National Park,958,The Exchange TRX,Leasehold,3,REN 37139,"Barbeque area, Jogging Track, Multipurpose hall, Tennis Court, Playground, Gymnasium, Squash Court, Lift, Minimart, Security, Sauna, Parking, Club house",2015,228000,SM Sains T. Munawir,Apartment
Mahumas Sdn Bhd,Selangor,2,103042046,Seremban Bus terminal,11321,Penang National Park,965,Sunway Pyramid,Leasehold,3,REN 28191,"Parking, Swimming Pool, Club house, Squash Court, Minimart, Jogging Track, Playground, Multipurpose hall, Security, Tennis Court, Lift",1997,368000,Sekolah Menengah Kebangsaan Seri Selayang,Condominium
SYF Development,Sarawak,2,103805672,Seremban Bus terminal,77778,Penang National Park,1120,One Utama,Leasehold,3,REN 35150,"Tennis Court, Swimming Pool",1993,530000,MRSM Tun Ghafar Baba,Apartment
IOI Properties Group,Putrajaya,2,103805666,KL Central,10121,Gunung Ledang National Park,1654,Sunway Pyramid,Freehold,4,REN 05189,"Jogging Track, Sauna, Barbeque area, Security, Swimming Pool, Lift, Multipurpose hall, Tennis Court, Parking, Gymnasium, Squash Court, Playground, Minimart",1991,670000,SM imtiaz Kemaman,Condominium
TLS Group,Selangor,2,103805719,Terminal Sentral Kuantan Bus terminal,11989,Selangor State Park,1000,Berjaya Times Square,Freehold,3,REN 51173,"Swimming Pool, Security, Tennis Court, Gymnasium, Multipurpose hall, Sauna, Barbeque area, Lift, Club house, Jogging Track, Squash Court",2005,295000,Sekolah Seni Malaysia,Apartment
IJM LAND BERHAD,Penang,1,103805714,KL Central,11584,Selangor State Park,700,One Utama,Freehold,3,REN 21767,"Minimart, Gymnasium",2017,320000,SM imtiaz Kemaman,Condominium
R&F Development Sdn Bhd,Selangor,1,103805712,Seremban Bus terminal,11607,"Park at Lestari Perdana 6, Subang Jaya
Park at Taman Rekreasi Puncak Jalil, Taman Puncak Jalil
Park at Villa Avenue, Putra Permai",1400,The Exchange TRX,Leasehold,3,REN 16625,"Gymnasium, Squash Court, Multipurpose hall, Playground, Lift, Barbeque area, Sauna, Tennis Court, Parking",2014,410000,SMK Bukit Jambul,Others
GSD Land (M) Sdn Bhd,Selangor,2,102887743,Terminal Sentral Kuantan Bus terminal,31936,Selangor State Park,650,One Utama,Freehold,3,REN 66961,"Squash Court, Barbeque area, Security, Multipurpose hall, Playground",1993,100000,SM imtiaz Kemaman,Apartment
Parkland Group,Kuala Lumpur,1,103120855,"Bus Stop Sentul Al-Hidayah Mosque
Bus Stop SK Sentul 2
Bus Stop SPG Dato Senu
Bus Stop Pangsapuri Sentul Utara
Bus Stop 2 Perumahan Sentul Impian
Bus Stop 1 Perumahan Sentul Impian
Bus Stop Dato Senu Commercial
Bus Stop Rumah Kedai
Bus Stop Sentul Market
Bus Stop Madrasah Raudatul Muttaqin (Opp)
Bus Stop Skymeridien Sentul East
Bus Stop Kg Puah Bahagia
Bus Stop Data Senu Field
Bus Stop SJKC Sentul Peng Ming (Opp)
Bus Stop SMK Convent Sentul (Opp)
Bus Stop Sentul Boulevard (North)
Bus Stop SMK Convent Sentul
Bus Stop 2 Kg Chubadak Tambahan
Bus Stop LRT Sentul Timur
Bus Stop 1 Kg Chubadak Tambahan
Bus Stop Sentul Boulevard (West)
Bus Stop Apartment Bandar Baru Sentul Block 77 (Opp)
Bus Stop Kg Chubadak Hulu
Bus Stop Kg Chubadak Hulu (Selatan)",11925,"Park at Taman Kosmo Jaya, Kampung Chubadak Hulu, Kuala Lumpur, 51000, Malaysia
Taman Kaya Community Garden, Kaya Garden, Kuala Lumpur, 51100, Malaysia",560,Berjaya Times Square,Leasehold,2,REN 25246,"Tennis Court, Gymnasium, Lift, Security, Club house, Jogging Track, Parking",2023,148000,Sekolah Kebangsaan Sentul,Flat
R&F Development Sdn Bhd,Selangor,1,103795255,Pudu Sentral,11836,Penang National Park,900,Sunway Pyramid,Leasehold,3,REN 64316,"Security, Playground, Jogging Track, Multipurpose hall, Sauna, Swimming Pool, Barbeque area, Minimart, Squash Court, Gymnasium",2006,380500,SM imtiaz Kemaman,Service Residence
Asia Green Group,Penang,2,103708653,Seremban Bus terminal,11834,Taman Negara,1598,The Exchange TRX,Freehold,3,REN 21579,"Squash Court, Sauna, Parking, Minimart, Swimming Pool, Barbeque area, Playground, Gymnasium, Jogging Track, Lift, Tennis Court",2007,620000,Sekolah Seni Malaysia,Condominium
Petaling Garden Sdn Bhd (I & P Group),Selangor,1,103795254,Pudu Sentral,11836,Gunung Ledang National Park,900,The Exchange TRX,Leasehold,3,REN 64316,"Swimming Pool, Security, Playground, Squash Court, Jogging Track",2013,380000,SM imtiaz Kemaman,Service Residence
Perbadanan Kemajuan Negeri Perak (PKNP),Selangor,1,103795238,KL Central,11836,Penang National Park,900,Berjaya Times Square,Leasehold,3,REN 64316,"Playground, Squash Court, Swimming Pool, Sauna",2001,380300,Sekolah Seni Malaysia,Service Residence
Majlis Perbandaran Kajang,Selangor,2,103663119,Pudu Sentral,11747,Penang National Park,1001,One Utama,Freehold,3,REN 31955,"Squash Court, Sauna, Lift, Swimming Pool, Minimart, Gymnasium, Jogging Track, Barbeque area",2008,280000,SM Sains T. Munawir,Apartment
